sample_id,description
cps2017_04b,"IPUMS-CPS, April 2017"
cps2017_05s,"IPUMS-CPS, May 2017"
cps2017_06s,"IPUMS-CPS, June 2017"
cps2017_07s,"IPUMS-CPS, July 2017"
cps2017_08s,"IPUMS-CPS, August 2017"
cps2017_09s,"IPUMS-CPS, September 2017"
cps2017_10s,"IPUMS-CPS, October 2017"
cps2017_11s,"IPUMS-CPS, November 2017"
cps2017_12s,"IPUMS-CPS, December 2017"
cps2018_01s,"IPUMS-CPS, January 2018"
cps2018_02s,"IPUMS-CPS, February 2018"
cps2018_03b,"IPUMS-CPS, March 2018"
cps2018_03s,"IPUMS-CPS, ASEC 2018"
cps2018_04b,"IPUMS-CPS, April 2018"
cps2018_05s,"IPUMS-CPS, May 2018"
cps2018_06s,"IPUMS-CPS, June 2018"
cps2018_07s,"IPUMS-CPS, July 2018"
cps2018_08s,"IPUMS-CPS, August 2018"
cps2018_09s,"IPUMS-CPS, September 2018"
cps2018_10s,"IPUMS-CPS, October 2018"
cps2018_11s,"IPUMS-CPS, November 2018"
cps2018_12s,"IPUMS-CPS, December 2018"
cps2019_01s,"IPUMS-CPS, January 2019"
cps2019_02s,"IPUMS-CPS, February 2019"
cps2019_03b,"IPUMS-CPS, March 2019"
cps2019_03s,"IPUMS-CPS, ASEC 2019"
cps2019_04b,"IPUMS-CPS, April 2019"
cps2019_05s,"IPUMS-CPS, May 2019"
cps2019_06s,"IPUMS-CPS, June 2019"
cps2019_07s,"IPUMS-CPS, July 2019"
cps2019_08s,"IPUMS-CPS, August 2019"
cps2019_09s,"IPUMS-CPS, September 2019"
cps2019_10s,"IPUMS-CPS, October 2019"
cps2019_11s,"IPUMS-CPS, November 2019"
cps2019_12s,"IPUMS-CPS, December 2019"
cps2020_01s,"IPUMS-CPS, January 2020"
cps2020_02s,"IPUMS-CPS, February 2020"
cps2020_03b,"IPUMS-CPS, March 2020"
cps2020_03s,"IPUMS-CPS, ASEC 2020"
cps2020_04b,"IPUMS-CPS, April 2020"
cps2020_05b,"IPUMS-CPS, May 2020"
cps2020_06s,"IPUMS-CPS, June 2020"
cps2020_07b,"IPUMS-CPS, July 2020"
cps2020_08s,"IPUMS-CPS, August 2020"
cps2020_09b,"IPUMS-CPS, September 2020"
cps2020_10s,"IPUMS-CPS, October 2020"
cps2020_11s,"IPUMS-CPS, November 2020"
cps2020_12s,"IPUMS-CPS, December 2020"
cps2021_01b,"IPUMS-CPS, January 2021"
cps2021_02s,"IPUMS-CPS, February 2021"
cps2021_03b,"IPUMS-CPS, March 2021"
cps2021_03s,"IPUMS-CPS, March 2021"
cps2021_04b,"IPUMS-CPS, April 2021"
cps2021_05b,"IPUMS-CPS, May 2021"
cps2021_06s,"IPUMS-CPS, June 2021"
cps2021_07s,"IPUMS-CPS, July 2021"
cps2021_08s,"IPUMS-CPS, August 2021"
cps2021_09s,"IPUMS-CPS, September 2021"
cps2021_10s,"IPUMS-CPS, October 2021"
cps2021_11s,"IPUMS-CPS, November 2021"
cps2021_12s,"IPUMS-CPS, December 2021"
cps2022_01s,"IPUMS-CPS, January 2022"
cps2022_02b,"IPUMS-CPS, February 2022"
cps2022_03b,"IPUMS-CPS, March 2022"
cps2022_04s,"IPUMS-CPS, April 2022"
cps2022_05b,"IPUMS-CPS, May 2022"
cps2022_06s,"IPUMS-CPS, June 2022"
cps2022_07s,"IPUMS-CPS, July 2022"
cps2022_08s,"IPUMS-CPS, August 2022"
cps2022_09s,"IPUMS-CPS, September 2022"
cps2022_10s,"IPUMS-CPS, October 2022"
cps2022_11s,"IPUMS-CPS, November 2022"
cps2022_12s,"IPUMS-CPS, December 2022"
cps2023_01s,"IPUMS-CPS, January 2023"
